Date,Place Name,Latitude,Longitude,SST,Chlorophyll-a Concentration,Sea Surface Salinity,Sea Level Pressure,Wind Speed,Solar Radiation,Cloud Cover,Wave Height,Precipitation,Bleaching
01-11-2020,Lagoon Bay,3.0189467063217137,136.20864470899437,27.3,2.82,33.9,1017.8,5.9,323.2,83,2.2,59.6,0
01-12-2020,Coral Bay,6.1534728408631025,145.31123083154546,30.3,0.88,34.5,1019.7,7.9,243.7,90,1.1,137.4,0
01-01-2021,Blue Reef,4.977735098,138.7050836907939,28,1.31,36.3,1015.5,6.3,243.8,41,1,64.9,0
01-02-2021,Sunrise Atoll,18.85854325391783,149.38918063302108,27.4,2.06,35.5,1011.2,3.5,306.5,97,2.3,144.2,0
01-03-2021,Pearl Island,4.212786914860104,142.95369180916123,27.7,0.99,35.3,1012.1,11.9,254.8,11,1.7,143.7,0
01-04-2021,Crystal Cove,-17.20708789,157.5213677105848,27.5,2.61,32.6,1006.2,8.6,237.3,82,1.7,108.1,0
01-05-2021,Golden Sands,-4.018076517,124.88020696349966,30.3,2,33.2,1020.9,9.1,233.2,36,1.5,62.3,0
01-06-2021,Lagoon Bay,5.610290255349383,143.90514590131687,28.7,2.1,34.2,1014.3,9.6,303.3,19,2.4,156.5,0
01-07-2021,Coral Bay,6.492102688510247,153.6006698871454,28.1,0.57,34.8,1022.5,8.6,209.2,40,0.8,96.3,0
01-08-2021,Blue Reef,-13.06997784,113.22060794013267,29.8,1.69,33.3,1013.6,13.3,323.9,43,0.8,15.6,1
01-09-2021,Sunrise Atoll,5.475694448887527,119.03754257142259,28.9,0.97,35,1010.1,11.7,342.4,69,0.9,24.1,0
01-10-2021,Pearl Island,9.472393074340069,113.11159993522116,30.3,1.2,34.2,1013,7.4,294.4,24,1.4,184.6,0
01-11-2021,Crystal Cove,16.914302631673003,126.21418219484087,29.5,1.24,36.6,1021.5,4.5,308.9,10,0.7,132.4,0
01-12-2021,Golden Sands,6.673896310794557,140.69660338380007,29.5,1.41,35.1,1009.6,10.2,319.2,6,1.3,23.8,0
01-01-2022,Lagoon Bay,14.516086183103347,115.2332396255922,29.1,1.32,34.3,1014.4,8.8,311.8,39,2.1,197.6,0
01-02-2022,Coral Bay,-13.47173264,111.76487641463689,27.3,0.47,32.5,1010.5,6.5,250.3,86,2.3,29.9,0
01-03-2022,Blue Reef,-12.68485202,115.60054474077918,29.4,1.53,35.6,1016.4,1.6,303.1,50,0.9,133.2,0
01-04-2022,Sunrise Atoll,-13.4334571,149.59215905860145,28.2,2.91,35.1,1009.4,1.7,293.7,46,2.2,158.1,0
01-05-2022,Pearl Island,-11.58891186,159.47293177326907,29.8,2.44,32.3,1006.4,10.7,266.7,7,1.4,50.1,0
01-06-2022,Crystal Cove,-8.226378283,121.7709821932817,28.8,2.76,33.1,1006.2,2.3,234.5,42,1.9,73.4,0
01-07-2022,Golden Sands,17.15687998404895,130.64603598011598,28.1,2.38,34,1020.4,12.5,212.7,10,1.3,13.9,0
01-08-2022,Lagoon Bay,-0.766063007,141.6552935986955,29.4,2.6,34,1022.9,14.9,325.8,60,1.7,168.2,0
01-09-2022,Coral Bay,16.683590754763777,156.48546644850518,29.4,2.14,37,1024.3,13.5,212.3,5,1,140.6,0
01-10-2022,Blue Reef,18.202379446713458,130.2094608554224,30.2,0.33,34.7,1014.5,12.9,245.2,1,2,197.3,0
01-11-2022,Sunrise Atoll,-5.153903383,114.69449496034144,28.6,1.23,33.2,1015.1,2.4,246.1,12,1.6,95.2,0
01-12-2022,Pearl Island,14.394927114358538,128.71091142316243,30.4,2.03,36.3,1018.9,3.8,223.6,29,1.5,23,0
